%DEPTH	GR	  RHOB	NPHI	RES-DEEP
%  m	  API  	g/cm3		
616.00	104.6	2.663	0.129	19.84
616.15	102.5	2.654	0.131	20.29
616.31	99.3	2.634	0.128	20.18
616.46	97.2	2.648	0.124	19.74
616.61	95.1	2.664	0.118	19.24
616.76	90.3	2.639	0.110	18.75
616.92	88.3	2.613	0.107	18.61
617.07	88.5	2.638	0.107	18.71
617.22	89.1	2.664	0.110	18.58
617.37	87.5	2.683	0.112	18.40
617.53	86.0	2.671	0.111	18.33
617.68	89.8	2.641	0.113	18.22
617.83	94.6	2.652	0.112	16.99
617.98	97.1	2.651	0.109	17.26
618.13	94.2	2.637	0.105	19.81
618.29	89.9	2.629	0.104	20.60
618.44	87.9	2.636	0.105	20.18
618.59	89.4	2.643	0.110	20.09
618.74	90.9	2.639	0.117	19.98
618.90	90.7	2.653	0.125	19.67
619.05	88.7	2.666	0.125	19.18
619.20	87.4	2.677	0.117	18.94
619.35	88.7	2.676	0.112	18.95
619.51	89.6	2.659	0.108	18.97
619.66	87.8	2.636	0.105	19.67
619.81	80.7	2.632	0.103	21.35
619.96	74.8	2.616	0.105	23.06
620.12	71.8	2.616	0.106	24.49
620.27	72.2	2.650	0.101	25.87
620.42	75.4	2.649	0.094	26.75
620.57	76.0	2.657	0.091	25.66
620.73	74.3	2.650	0.101	24.48
620.88	74.2	2.636	0.114	25.18
621.03	76.3	2.627	0.125	26.06
621.18	81.0	2.640	0.131	26.34
621.34	85.1	2.714	0.136	26.70
621.49	87.0	2.742	0.147	27.91
621.64	87.4	2.712	0.156	27.97
621.79	86.2	2.690	0.159	24.52
621.94	87.9	2.665	0.156	21.34
622.10	92.3	2.637	0.147	20.52
622.25	93.8	2.620	0.131	20.47
622.40	83.8	2.598	0.105	20.32
622.55	65.7	2.574	0.078	19.52
622.71	51.7	2.562	0.060	17.84
622.86	48.4	2.559	0.054	15.86
623.01	49.8	2.544	0.054	14.26
623.16	48.7	2.543	0.053	13.04
623.32	44.3	2.527	0.051	12.54
623.47	40.6	2.483	0.051	12.64
623.62	39.4	2.483	0.052	12.73
623.77	39.6	2.483	0.055	12.53
623.93	41.4	2.474	0.058	12.12
624.08	42.3	2.485	0.063	11.85
624.23	42.1	2.491	0.064	11.34
624.38	40.8	2.485	0.064	10.31
624.54	38.6	2.485	0.062	9.68
624.69	38.0	2.493	0.060	9.74
624.84	37.7	2.482	0.059	10.80
624.99	37.4	2.457	0.058	14.68
625.15	36.7	2.464	0.058	18.26
625.30	34.4	2.492	0.057	17.63
625.45	31.7	2.547	0.055	16.33
625.60	30.0	2.637	0.056	15.09
625.75	30.4	2.695	0.058	13.22
625.91	31.5	2.724	0.060	11.14
626.06	31.6	2.725	0.060	11.00
626.21	30.8	2.651	0.062	13.14
626.36	29.5	2.532	0.066	14.57
626.52	28.8	2.478	0.072	15.18
626.67	30.0	2.471	0.075	16.42
626.82	32.0	2.467	0.072	16.84
626.97	33.5	2.484	0.068	16.58
627.13	33.3	2.472	0.063	16.63
627.28	32.1	2.461	0.062	16.73
627.43	32.2	2.472	0.061	16.56
627.58	33.0	2.471	0.063	16.81
627.74	34.4	2.495	0.065	17.38
627.89	34.5	2.513	0.065	18.51
628.04	33.6	2.502	0.064	19.37
628.19	33.8	2.485	0.061	18.65
628.35	34.6	2.477	0.060	17.21
628.50	35.0	2.492	0.062	15.95
628.65	34.2	2.495	0.065	15.14
628.80	33.9	2.490	0.066	14.58
628.96	34.5	2.488	0.065	14.29
629.11	33.9	2.482	0.065	14.20
629.26	32.1	2.461	0.066	13.61
629.41	31.7	2.418	0.070	9.29
629.56	32.7	2.373	0.077	5.61
629.72	33.5	2.379	0.086	5.11
629.87	33.0	2.399	0.095	5.80
630.02	32.2	2.391	0.100	6.16
630.17	32.7	2.393	0.097	6.18
630.33	33.3	2.403	0.090	6.17
630.48	33.6	2.407	0.083	6.17
630.63	33.9	2.415	0.077	6.15
630.78	32.4	2.487	0.075	6.02
630.94	30.5	2.513	0.078	5.69
631.09	29.9	2.457	0.087	5.20
631.24	30.8	2.420	0.096	4.90
631.39	32.8	2.411	0.099	5.39
631.55	33.1	2.421	0.100	6.41
631.70	33.1	2.409	0.101	7.21
631.85	34.5	2.408	0.102	7.89
632.00	35.8	2.438	0.102	8.64
632.16	34.3	2.454	0.098	9.59
632.31	31.3	2.471	0.088	10.76
632.46	29.3	2.485	0.080	11.26
632.61	30.7	2.479	0.078	11.68
632.77	34.1	2.459	0.079	13.26
632.92	36.4	2.434	0.082	15.03
633.07	39.2	2.442	0.083	19.21
633.22	40.5	2.462	0.084	29.71
633.37	39.9	2.462	0.083	35.86
633.53	37.6	2.490	0.078	29.37
633.68	35.2	2.537	0.067	20.73
633.83	34.6	2.525	0.053	16.56
633.98	34.7	2.496	0.044	16.57
634.14	35.8	2.500	0.039	17.71
634.29	35.9	2.515	0.038	19.95
634.44	34.0	2.523	0.037	22.36
634.59	32.7	2.535	0.036	22.13
634.75	34.3	2.543	0.034	19.72
634.90	36.0	2.536	0.035	17.72
635.05	33.1	2.521	0.038	16.54
635.20	28.3	2.505	0.041	16.02
