,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM,RACELM,RPCEHM,RPCELM,PHIF,SW,VSH,VSH_class,SW_class
32,15/9-F-1 A,3434.2,8.625,72.7456,2.627,0.3134,0.7134,0.5927,1.7113,1.0111,0.02,1.0,0.9659,4,1
33,15/9-F-1 A,3434.3,8.625,72.5227,2.5898,0.3055,0.7853,0.5835,2.1501,1.045,0.0422,1.0,0.9626,4,1
34,15/9-F-1 A,3434.4,8.6249,70.1513,2.5523,0.2982,0.8404,0.5757,2.5725,1.1032,0.0648,1.0,0.9268,4,1
35,15/9-F-1 A,3434.5,8.5781,64.3046,2.5186,0.2933,0.8679,0.5721,2.691,1.1324,0.0851,1.0,0.8382,4,1
36,15/9-F-1 A,3434.6,8.5781,58.7215,2.4902,0.2836,0.8854,0.5722,2.5911,1.1398,0.1022,0.882,0.7535,4,1
37,15/9-F-1 A,3434.7,8.5781,54.6092,2.4662,0.2692,0.8959,0.576,2.4817,1.1317,0.1167,0.7896,0.6912,3,0
38,15/9-F-1 A,3434.8,8.5781,51.0885,2.4444,0.2521,0.8916,0.575,2.397,1.1328,0.1298,0.7222,0.6378,3,0
39,15/9-F-1 A,3434.9,8.5781,49.5079,2.4227,0.2347,0.8741,0.5742,2.391,1.1417,0.1429,0.6568,0.6137,3,0
40,15/9-F-1 A,3435.0,8.5781,49.6982,2.4007,0.2199,0.8501,0.5764,2.1561,1.1162,0.1424,0.6622,0.323,2,0
41,15/9-F-1 A,3435.1,8.5781,48.2867,2.3785,0.2086,0.8137,0.5818,1.7759,1.0782,0.1551,0.6681,0.3119,2,0
42,15/9-F-1 A,3435.2,8.5781,45.0773,2.3583,0.2007,0.7802,0.5894,1.1933,0.9537,0.1666,0.7383,0.2865,2,0
43,15/9-F-1 A,3435.3,8.5781,38.6371,2.3403,0.1953,0.7683,0.6041,0.812,0.8245,0.177,0.8148,0.2354,2,1
44,15/9-F-1 A,3435.4,8.5781,32.3912,2.3258,0.192,0.7527,0.612,0.686,0.7565,0.1853,0.8335,0.1857,1,1
45,15/9-F-1 A,3435.5,8.5781,29.4624,2.3153,0.1894,0.7014,0.6144,0.5773,0.6831,0.1913,0.8684,0.1625,1,1
46,15/9-F-1 A,3435.6,8.5781,26.9639,2.3089,0.1871,0.6601,0.6135,0.5246,0.6249,0.1949,0.8864,0.1426,1,1
47,15/9-F-1 A,3435.7,8.5781,25.8226,2.3061,0.1858,0.6204,0.6123,0.4889,0.591,0.1965,0.9049,0.1335,1,1
48,15/9-F-1 A,3435.8,8.5781,24.344,2.3066,0.187,0.5611,0.6052,0.4546,0.5529,0.1962,0.931,0.1218,1,1
49,15/9-F-1 A,3435.9,8.5781,23.9571,2.3085,0.1919,0.5113,0.5983,0.4314,0.5188,0.1951,0.9546,0.1187,1,1
50,15/9-F-1 A,3436.0,8.5781,24.6456,2.3096,0.1991,0.4911,0.5956,0.4171,0.5011,0.1945,0.9713,0.1242,1,1
51,15/9-F-1 A,3436.1,8.5781,24.2384,2.3095,0.2065,0.4733,0.5921,0.4042,0.4784,0.1946,0.983,0.1209,1,1
52,15/9-F-1 A,3436.2,8.5781,24.6504,2.309,0.2128,0.4479,0.5854,0.3883,0.454,0.1949,0.9988,0.1242,1,1
53,15/9-F-1 A,3436.3,8.5781,25.2113,2.3095,0.2168,0.4351,0.5802,0.3768,0.4306,0.1946,1.0,0.1287,1,1
54,15/9-F-1 A,3436.4,8.5781,24.23,2.311,0.2176,0.4276,0.5754,0.3728,0.418,0.1937,1.0,0.1208,1,1
55,15/9-F-1 A,3436.5,8.5781,27.1613,2.3134,0.215,0.4196,0.568,0.3678,0.4044,0.1923,1.0,0.1441,1,1
56,15/9-F-1 A,3436.6,8.5781,28.248,2.3168,0.2115,0.4084,0.5626,0.3603,0.3926,0.1904,1.0,0.1527,1,1
57,15/9-F-1 A,3436.7,8.5781,29.8957,2.321,0.2098,0.4011,0.5614,0.3557,0.3869,0.188,1.0,0.1658,1,1
58,15/9-F-1 A,3436.8,8.5781,30.9831,2.3254,0.2106,0.392,0.5605,0.3512,0.3818,0.1855,1.0,0.1745,1,1
59,15/9-F-1 A,3436.9,8.5782,31.2243,2.3285,0.2121,0.3881,0.5601,0.3482,0.3798,0.1837,1.0,0.1764,1,1
60,15/9-F-1 A,3437.0,8.6015,31.7231,2.3287,0.21,0.3886,0.5615,0.3503,0.3812,0.1836,1.0,0.1803,1,1
61,15/9-F-1 A,3437.1,8.5781,31.3971,2.3262,0.2129,0.395,0.5643,0.357,0.3815,0.185,1.0,0.1778,1,1
62,15/9-F-1 A,3437.2,8.5781,30.0879,2.3216,0.2121,0.4111,0.5724,0.3688,0.3892,0.1877,1.0,0.1673,1,1
63,15/9-F-1 A,3437.3,8.5781,31.2423,2.3162,0.21,0.4199,0.5804,0.3797,0.3975,0.1907,1.0,0.1765,1,1
64,15/9-F-1 A,3437.4,8.5781,30.8161,2.3119,0.2065,0.4281,0.5928,0.3875,0.4071,0.1932,1.0,0.1732,1,1
65,15/9-F-1 A,3437.5,8.5781,29.7559,2.3093,0.2021,0.4405,0.6162,0.3976,0.4279,0.1947,0.9981,0.1647,1,1
66,15/9-F-1 A,3437.6,8.5781,30.7302,2.3095,0.1969,0.4565,0.6475,0.4182,0.4665,0.1946,0.9797,0.1724,1,1
67,15/9-F-1 A,3437.7,8.5781,32.9549,2.3116,0.1904,0.4843,0.6786,0.4374,0.5044,0.1934,0.97,0.1901,1,1
68,15/9-F-1 A,3437.8,8.5781,32.7322,2.315,0.1831,0.5582,0.7334,0.4639,0.5667,0.1914,0.9541,0.1884,1,1
69,15/9-F-1 A,3437.9,8.5781,31.5778,2.3196,0.1769,0.6587,0.7824,0.4953,0.6264,0.1888,0.9371,0.1792,1,1
