,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
0,Basalt,-122.585,46.23,47.77,1.33,15.38,9.59,0.17,10.76,11.28,2.69,0.62,0.41
1,Basalt,-122.5806,46.2436,47.94,1.28,15.22,9.6,0.18,10.87,11.39,2.17,0.96,0.38
2,Basalt,-122.5925,46.2036,51.5,1.12,16.04,8.77,0.15,9.49,9.8,2.64,0.33,0.16
3,Basalt,-122.5797,46.2144,45.66,1.6,14.87,9.9,0.17,9.81,13.09,3.09,0.96,0.84
4,Basalt,-122.5839,46.21,48.24,1.34,15.91,10.16,0.17,10.06,10.78,2.51,0.56,0.26
5,Basalt,-122.5814,46.2222,45.42,1.57,14.97,10.13,0.19,9.94,13.01,3.3,0.76,0.7
6,Basaltic andesite,-122.5789,46.2078,52.54,1.26,16.45,8.38,0.14,8.16,9.2,3.06,0.57,0.22
7,Basalt,-122.5842,46.2172,48.32,1.4,15.83,10.46,0.19,9.98,10.59,2.48,0.49,0.26
8,Basalt,-122.5731,46.2275,50.59,1.55,16.53,9.76,0.16,8.14,9.64,2.94,0.43,0.26
9,Basalt,-122.62,46.2433,50.38,1.51,16.08,9.62,0.16,7.9,10.18,2.94,0.87,0.37
10,Basalt,-122.6092,46.18,50.61,1.43,16.8,9.46,0.18,7.76,10.51,2.66,0.38,0.21
11,Basaltic andesite,-122.535,46.25,52.9,1.37,16.95,8.47,0.14,6.74,9.56,3.06,0.56,0.25
12,Basalt,-122.6022,46.1967,51.7,1.28,16.96,8.83,0.15,7.54,9.98,2.88,0.46,0.22
13,Basalt,-122.5658,46.2369,50.5,1.53,16.53,9.8,0.15,8.29,9.57,2.95,0.44,0.25
14,Basalt,-122.6175,46.1761,50.3,1.5,16.73,9.88,0.16,7.76,10.27,2.75,0.41,0.24
15,Basalt,-122.5703,46.2167,50.92,1.52,16.6,9.65,0.15,8.1,9.32,3.01,0.47,0.26
16,Basalt,-122.3458,46.2033,48.01,1.53,16.45,10.9,0.19,8.68,10.97,2.49,0.51,0.27
17,Basalt,-122.6106,46.2331,51.82,1.48,17.04,9.08,0.14,7.11,9.08,3.35,0.61,0.3
18,Basaltic andesite,-122.5858,46.2025,53.25,1.31,16.93,8.48,0.14,6.62,9.24,3.18,0.6,0.25
19,Basaltic andesite,-122.5756,46.1403,52.12,1.44,17.13,9.02,0.15,6.55,9.46,3.28,0.51,0.34
20,Basaltic andesite,-122.5642,46.2008,52.98,1.38,17.63,8.76,0.15,5.89,9.21,3.16,0.6,0.24
21,Basaltic andesite,-122.5767,46.2106,52.12,1.37,17.34,8.85,0.18,6.4,9.81,3.08,0.6,0.26
22,Basaltic andesite,-122.5617,46.2403,52.07,1.66,16.53,9.67,0.15,6.65,9.25,3.18,0.54,0.3
23,Basaltic andesite,-122.5708,46.2469,52.6,1.61,16.68,9.26,0.16,6.22,9.39,3.18,0.52,0.38
24,Basaltic andesite,-122.5628,46.2489,52.3,1.64,16.78,9.46,0.18,6.21,9.55,3.19,0.32,0.37
25,Basaltic andesite,-122.62,46.1517,53.31,1.46,17.53,8.72,0.14,5.65,9.08,3.24,0.59,0.28
26,Andesite,-122.5314,46.2453,59.09,0.96,17.42,6.29,0.12,4.03,6.95,3.98,0.88,0.28
27,Basaltic andesite,-122.6147,46.1961,53.64,1.42,17.23,8.73,0.14,5.54,9.15,3.25,0.64,0.27
28,Basalt,-122.6611,46.2947,47.18,0.97,13.79,8.88,0.15,14.91,10.93,1.79,1.03,0.39
